0.347,0.0539,0.1361,-0.1894,1.1041,-0.3288,-1.3586,0.1491,3.8441,-3.7617,1.656,-1.4752,0
0.3454,0.053,0.1344,-0.1892,1.0925,-0.2956,-1.3905,0.148,3.8561,-3.8321,1.6431,-1.5208,0
0.344,0.0521,0.1326,-0.189,1.0808,-0.2627,-1.4217,0.147,3.865,-3.9038,1.6277,-1.5682,0
0.3425,0.051,0.1308,-0.1889,1.069,-0.2308,-1.4519,0.146,3.8705,-3.9768,1.6095,-1.6175,0
0.3411,0.0498,0.1291,-0.1887,1.0576,-0.2004,-1.4809,0.145,3.8727,-4.0511,1.5887,-1.6688,0
0.3397,0.0485,0.1273,-0.1886,1.0468,-0.1722,-1.5083,0.144,3.8717,-4.1268,1.5651,-1.7219,0
0.3383,0.0471,0.1255,-0.1886,1.0368,-0.1465,-1.5338,0.143,3.8676,-4.2036,1.5391,-1.7768,0
0.337,0.0456,0.1237,-0.1885,1.028,-0.1238,-1.5573,0.1419,3.8608,-4.2813,1.511,-1.8331,0
0.3357,0.044,0.122,-0.1885,1.0203,-0.1043,-1.5787,0.1409,3.8519,-4.3597,1.4811,-1.8906,0
0.3344,0.0424,0.1202,-0.1884,1.0137,-0.0877,-1.5983,0.1399,3.8414,-4.4384,1.45,-1.9487,0
0.3332,0.0407,0.1185,-0.1884,1.0083,-0.074,-1.616,0.139,3.8295,-4.5172,1.418,-2.0073,0
0.332,0.039,0.1167,-0.1884,1.0039,-0.0628,-1.6322,0.138,3.8167,-4.5958,1.3853,-2.0661,0
0.3308,0.0373,0.115,-0.1884,1.0003,-0.0537,-1.647,0.137,3.8033,-4.6742,1.3523,-2.1249,0
0.3296,0.0356,0.1133,-0.1884,0.9974,-0.0463,-1.6606,0.136,3.7894,-4.7521,1.3191,-2.1835,0
0.3284,0.0339,0.1116,-0.1884,0.995,-0.0404,-1.6733,0.135,3.7753,-4.8296,1.2859,-2.2419,0
0.3272,0.0322,0.1099,-0.1884,0.9931,-0.0356,-1.6851,0.134,3.7609,-4.9064,1.2527,-2.2999,0
0.3261,0.0304,0.1082,-0.1884,0.9915,-0.0318,-1.6963,0.1331,3.7464,-4.9827,1.2195,-2.3575,0
0.325,0.0287,0.1066,-0.1884,0.9902,-0.0287,-1.7069,0.1321,3.7318,-5.0583,1.1866,-2.4148,0
0.3238,0.027,0.105,-0.1885,0.989,-0.0263,-1.717,0.1312,3.7172,-5.1333,1.1537,-2.4716,0
0.3227,0.0253,0.1034,-0.1885,0.988,-0.0243,-1.7266,0.1302,3.7026,-5.2077,1.1211,-2.5279,0
0.3216,0.0237,0.1018,-0.1885,0.9871,-0.0227,-1.7359,0.1292,3.688,-5.2813,1.0888,-2.5837,0
0.3205,0.022,0.1002,-0.1885,0.9862,-0.0214,-1.7449,0.1283,3.6735,-5.3543,1.0566,-2.6391,0
0.3195,0.0204,0.0986,-0.1886,0.9853,-0.0204,-1.7535,0.1274,3.6591,-5.4266,1.0247,-2.6939,0
0.3184,0.0187,0.0971,-0.1886,0.9845,-0.0195,-1.7619,0.1264,3.6447,-5.4983,0.9931,-2.7483,0
0.3173,0.0171,0.0956,-0.1886,0.9837,-0.0188,-1.7701,0.1255,3.6305,-5.5692,0.9617,-2.8021,0
0.3163,0.0155,0.094,-0.1887,0.9829,-0.0183,-1.7781,0.1246,3.6163,-5.6394,0.9307,-2.8555,0
0.3153,0.0139,0.0926,-0.1887,0.982,-0.0178,-1.7858,0.1237,3.6023,-5.709,0.8999,-2.9083,0
0.3142,0.0123,0.0911,-0.1887,0.9811,-0.0175,-1.7934,0.1227,3.5884,-5.7779,0.8694,-2.9606,0
0.3132,0.0107,0.0896,-0.1888,0.9802,-0.0172,-1.8008,0.1218,3.5747,-5.8461,0.8393,-3.0123,0
0.3122,0.0092,0.0882,-0.1888,0.9792,-0.0169,-1.808,0.1209,3.5611,-5.9136,0.8095,-3.0636,0
0.3112,0.0076,0.0867,-0.1889,0.9782,-0.0167,-1.8151,0.12,3.5477,-5.9804,0.7799,-3.1143,0
0.3102,0.0061,0.0853,-0.1889,0.9771,-0.0165,-1.822,0.1191,3.5345,-6.0465,0.7508,-3.1645,0
0.3093,0.0046,0.0839,-0.189,0.976,-0.0164,-1.8288,0.1182,3.5215,-6.1119,0.7219,-3.2141,0
0.3083,0.0031,0.0826,-0.189,0.9749,-0.0163,-1.8354,0.1174,3.5086,-6.1767,0.6934,-3.2632,0
0.3073,0.0016,0.0812,-0.1891,0.9737,-0.0162,-1.8419,0.1165,3.4959,-6.2407,0.6653,-3.3118,0
0.3064,0.0001,0.0798,-0.1891,0.9724,-0.0162,-1.8482,0.1156,3.4835,-6.3041,0.6375,-3.3598,0
